species,label,speciescn,taxid,groups,description
Cowpox virus,Pathogenicity,牛痘viral,10243,viral,牛痘viral是角膜炎的一种致病原，接种牛痘疫苗中牛痘viral意外感染角膜可致角膜炎，在角膜常呈树枝状角膜炎，浸润后常发生溃疡，严重病例则常引起虹膜反应，虹膜睫状体炎，少数病例还可引起角膜穿孔，或角膜葡萄肿、继发性青光眼等。
Cryptococcus neoformans,Pathogenicity,新型隐球菌,5207,fungi,新型隐球菌属于隐球菌属，在自然界分布广泛，鸽粪中最多见。人在免疫力低下时，因吸入鸽粪污染的空气而感染，主要引起肺和脑亚急性或慢性感染，可扩散至脑部感染，引起慢性炎症和脓肿。在眼部可引起感染性眼内炎，可表现为玻璃体炎、视网膜血管炎和脉络膜炎。
Cutibacterium acnes,Both,痤疮丙酸杆菌,1747,bacteria,痤疮丙酸杆菌是定植在人类皮肤毛囊、皮脂腺中最主要的微生物，为丙酸杆菌属的革兰兼性厌氧棒状菌。此菌是一种不运动、厌氧、无芽孢的杆菌．在正常皮肤及瘴疮形成时均存在。痤疮丙酸杆菌性眼内炎是白内障术后最常见的慢性厌氧菌性眼内炎，如慢性肉芽肿性葡萄膜炎，感染症状为结膜充血，角膜后壁沉着物，晶体内混浊，眼底视盘边缘模糊，黄斑区及周围视网膜水肿，玻璃体炎。临床治疗多用万古霉素玻璃体内注射治疗。
Cutibacterium granulosum,Background,颗粒状皮肤杆菌,33011,bacteria,常见背景微生物
Cutibacterium modestum,Background,C.modestum,2559073,bacteria,常见背景微生物
Cutibacterium namnetense,Background,-,1574624,bacteria,常见背景微生物
Nocardia cyriacigeorgica,Pathogenicity,盖尔森基兴诺卡氏菌,135487,bacteria,常见背景微生物
Diaporthe ampelina,Background,-,1214573,fungi,常见背景微生物
Encephalitozoon hellem,Both,海伦脑炎微孢子虫,27973,protozoa,海伦脑炎微孢子虫是属于脑胞内原虫属的单细胞微孢子虫，是一种可形成孢子的protozoa，由粪便传播，其宿主主要是免疫低下患者，该病原体首次于1991年从患有角膜结膜炎患者中分离出来，但也发现它能感染老鼠、鸟类，甚至蝙蝠。感染该病原体的临床表现主要为角膜结膜炎、呼吸道、泌尿生殖道感染及播散性感染。海伦脑炎微孢子虫性角膜结膜炎更易发生在获得性免疫缺陷综合征患者中，但也曾有报道1例免疫功能正常的成人经禽类传播感染海伦脑炎微孢子虫性角膜结膜炎。
Enterobacter cancerogenus,Pathogenicity,生癌肠杆菌,69218,bacteria,生癌肠杆菌是一种革兰氏阴性厌氧菌，属于肠杆菌科，本属bacteria广泛存在于水、污水、土壤和蔬菜中关，感染常与外伤及免疫力低下有关，在皮肤、软组织感染、脓毒性关节炎、骨髓炎、肺炎和尿路感染中分离过该病原体。
Enterobacter cloacae,Both,阴沟肠杆菌,550,bacteria,阴沟肠杆菌是一种革兰氏阴性杆菌，在人和动物的粪便水、泥土、植物中均可检出，是肠道正常菌种之一。可引起皮肤、软组织、呼吸道、泌尿道、中枢神经系统、胃肠道和其他器官的感染。在眼科中可引起眼内炎，眼科手术是常见诱因。
Enterobacter cloacae complex,Pathogenicity,阴沟肠杆菌复合体,354276,bacteria,阴沟肠杆菌复合体包含6种肠杆菌，包括阿氏肠杆菌、阴沟肠杆菌、霍氏肠杆菌、神户肠杆菌、路德维希肠杆菌和超压肠杆菌，它们在自然界广泛存在，并且可以作为病原体。在临床研究中，阴沟肠杆菌和霍氏肠杆菌是人类中最常分离的病原种类，能够引发血流感染。阴沟肠杆菌在眼科被报道可引起术后眼内炎和免疫功能低下患者的角膜炎。
Enterobacter hormaechei,Both,霍氏肠杆菌,158836,bacteria, 霍氏肠杆菌是革兰氏阴性菌，是肠杆菌中的一种兼性厌氧菌，广泛存在于动物肠道中，为正常菌群之一，在特定条件下会引起动物和人感染，是条件致病菌，霍氏肠杆菌属于阴沟肠杆菌复合体中的一种肠杆菌。
Enterobacter ludwigii,Both,路德维希肠杆菌,299767,bacteria,路德维希肠杆菌为革兰氏阴性菌，普遍存在于土壤、水体和肠道等环境中。近年来，不断有临床研究发现路德维希肠杆菌可导致腹部、泌尿道、脑膜和外科部位的感染。
Enterococcus casseliflavus,Both,酪黄肠球菌,37734,bacteria,酪黄肠球菌是一种革兰氏阳性菌，肠球菌属，是一种罕见的病原体， 文献报道可引起免疫低下人群泌尿道、消化道、腹腔等继发感染，以及败血症、眼内炎等疾病。病例系列研究显示在肠球菌性眼内炎中，酪黄肠球菌引起的眼内炎病例不少于粪肠球菌，其感染发生在眼部创伤和内源性感染情况下。
Enterococcus faecalis,Both,粪肠球菌,1351,bacteria,粪肠球菌是一种革兰氏阳性球菌。其广泛分布于自然环境及人和动物消化道内。20 世纪 80 年代以来，肠球菌严重感染的发生率和病死率明显升高。该菌可作为条件致病菌引起人的尿路感染、菌血症和心内膜炎。在眼科中曾有报道引起白内障术后的感染性眼内炎。
Enterococcus faecium,Pathogenicity,屎肠球菌,1352,bacteria,屎肠球菌为革兰氏阳性球菌，在人及动物肠道中可引起医源感染。最常见为尿道感染，其次为腹部和盆腔等部位的创伤和外科术后感染。在眼科中有报道由屎肠球菌引起感染性眼内炎。
Enterococcus gallinarum,Both,鹑鸡肠球菌,1353,bacteria,鹑鸡肠球菌是一种革兰氏阳性菌，肠球菌属，一般可在肠道中发现，可引起泌尿道、消化道、腹腔等继发感染，以及败血症、脑膜炎等疾病。鹑鸡肠球菌引起的眼内炎比较少见，有报道一名38岁男性，在不戴护目镜的情况下使用农业机械时发生左眼异物伤，感染鹑鸡肠球菌，短时间内眼内炎症快速进展，出现较重的玻璃体炎和血管炎，对万古霉素耐药，对氨苄青霉素和庆大霉素敏感。
Escherichia coli,Both,大肠埃希菌,562,bacteria,大肠杆菌是条件致病菌，在一定条件下可以引起人和多种动物发生胃肠道感染或尿道等多种局部组织器官感染。眼科中有报道引起内源性眼内炎及眼眶蜂窝组织炎。
Exophiala alcalophila,Pathogenicity,Exophiala alcalophila,91920,fungi,E. alcalophila是外瓶霉属中较为罕见的条件致病菌，外瓶霉属许多物种都是是人类和动物的潜在病原体，外瓶霉属可在其他免疫抑制和健康个体中引起皮下甚至致命的播散性感染，该属物种还可引起角膜炎、脓毒性关节炎、心内膜炎和导管相关fungi血症。
Finegoldia magna,Both,大芬戈尔德菌,1260,bacteria,大芬戈尔德菌是一种革兰氏阳性厌氧球菌，广泛分布于人类口腔、上呼吸道、胃肠道、泌尿生殖系统和皮肤，属于正常菌群的一部分。大芬戈尔德菌常见于皮肤和软组织感染、骨关节感染及包括糖尿病皮肤溃疡和应激性溃疡在内的慢性创面感染，还可分离自化脓性关节炎、假肢及植入物（如人工瓣膜）感染、乳腺脓肿、鼻窦炎和中耳炎等上呼吸道感染标本。另外，也有引起术后纵隔炎、坏死性肺炎、脑膜炎的病例报道，还可引起心内膜炎、心包炎、纵隔炎、坏死性筋膜炎。
Fusarium asiaticum,Background,亚洲镰刀菌,282267,fungi,常见背景微生物
Fusarium coffeatum,Pathogenicity,F. coffeatum,231269,fungi,F. coffeatum为F. incarnatum-equiseti species complex(FIESC)成员，为条件致病菌，在环境中广泛存在，主要导致皮肤、眼睛、指甲等部位的感染，也可引起深部组织与侵袭性fungi病的发生。文献报道该复合群成员在眼部主要引起角膜炎，大多数患者主诉眼红、眼痛、流泪、畏光和视力下降，也有报道发生角膜穿孔、全层角膜溃疡的患者。该复合群也被报道可引起白内障术后眼内炎。
Fusarium equiseti,Both,木贼镰刀菌,61235,fungi,镰刀菌主要为植物致病菌，但也可引起严重人类感染。引起侵袭性疾病的常见镰刀菌包含茄病镰刀菌、尖孢镰刀菌、轮枝样镰刀菌以及层生镰刀菌等。免疫正常的宿主感染镰刀菌的途径主要有外伤或外来异物引起的软组织或黏膜的感染、吸入镰刀菌孢子及镰刀菌引起的过敏性疾病。镰刀菌属是引起fungi性角膜炎和fungi性眼内炎的常见病原体。
Fusarium euwallaceae,Both,-,1147111,fungi,Fusarium euwallaceae属于镰刀菌属，镰刀菌是一种条件致病菌，广泛存在于土壤、空气和植物。一般情况下并不致病，当有外伤或机体抵抗力下降即可引起感染，可导致动物或人角膜、皮肤、甲板等部位感染，文献报道Fusarium euwallaceae为人类致病种。
Fusarium graminearum,Both,禾谷镰刀菌,5518,fungi,禾谷镰刀菌产生的主要霉菌毒素是脱氧雪腐镰刀菌烯醇（DON）和玉米赤霉烯酮。在人类中，已发现 DON 具有潜在的免疫抑制作用，并可能导致肾毒性。玉米赤霉烯酮可能在人体中引起雌激素问题，导致轻微至严 重的生殖影响。有报道由禾谷镰刀菌引起的fungi性角膜炎
Fusarium oxysporum,Both,尖孢镰刀菌,5507,fungi,镰刀菌会产生镰刀菌毒素，对人和动物有强烈的毒性，并以心血管系统损害为特征。另外镰刀菌会产生一种T-2毒素， 抑制软骨组织生长，骨关节还会慢慢发生病变最终导致缺血性股骨头坏死。镰刀菌是引起fungi性角膜炎和fungi性眼内炎的常见病原体。
Fusarium proliferatum,Both,层生镰刀菌,948311,fungi,层生镰刀菌是镰刀菌的一种，镰刀菌广泛存在于土壤、空气和植物。一般情况下并不致病，当有外伤或机体抵抗力下降即可引起感染，可导致动物或人角膜、皮肤、甲板等部位感染。层生镰刀菌被报道可引起角膜炎，角膜溃疡多为白色或灰色，在角膜中央，药敏检测显示其对那他霉素和伏立康唑敏感，对两性霉素、伊曲康唑等耐药。层生镰刀菌也被报道引起1例白内障术后眼内炎。
Fusarium solani,Both,茄病镰刀菌,169388,fungi,镰刀菌是一种条件致病菌，广泛存在于土壤、空气和植物。一般情况下并不致病，在免疫抑制和免疫抑制患者中与严重的侵袭性fungi病有关，当有外伤或机体抵抗力下降即可引起感染。可导致动物或人角膜、皮肤、甲板等部位感染，镰刀菌角膜炎表现为溃疡性病变，通常使用局部抗fungi药物治疗，偶尔结合结膜下注射。茄病镰刀菌是角膜fungi性感染的最常见镰刀菌，镰刀菌角膜炎可能发展为深面积感染穿孔和恶性青光眼，预后差。
Fusarium verticillioides,Both,轮枝镰刀菌,117187,fungi,轮枝镰刀菌属于镰刀菌属，镰刀菌为条件致病性fungi，广泛分布于自然界土壤、植物的地上及地下部分或植物碎片。镰刀菌会产生镰刀菌毒素，对人和动物有强烈的毒性，并以心血管系统损害为特征。
Gardnerella vaginalis,Pathogenicity,阴道加德纳菌,2702,bacteria,阴道加德纳氏菌（GV）是革兰氏阴性菌，是引起bacteria性阴道病（BV）的病原菌。其致病可能与厌氧菌共同作用有关，除引起BV以外，GV还可致早产、产褥热、新生儿败血症、绒毛膜羊膜炎、产后败血症、脓毒血症、尿路感染、肾周脓肿及膀胱炎等。该菌可通过性生活传染，在男性患者中也有该菌引起的龟头炎、尿道炎、尿路感染和无症状菌血症感染案例。此外，也有案例报道无症状阴道加德纳菌(GV)感染合并视网膜血管炎，患者有闪光感，视力轻度下降，视网膜血管渗漏表现，无前房和玻璃体炎症反应。GV感染可能是视网膜血管炎的众多诱因之一。
Gemella haemolysans,Pathogenicity,溶血孪生球菌,1379,bacteria,溶血孪生球菌是革兰氏阳性菌，是人和动物口腔、上呼吸道及肠道的正常菌群之一，一般不引起感染，但在机体抵抗力降低的情况下可致多种机会感染，如bacteria性心内膜炎、脑膜炎、脓毒性关节炎、椎间盘炎、化脓性脊椎骨髓炎等。在眼部，可引起传染性结晶性角膜病，和急性术后眼内炎，对庆大霉素、氯霉素、万古霉素敏感。
Gemella sanguinis,Both,血孪生球菌,84135,bacteria,寄生于人类肠道/呼吸道/泌尿生殖道的机会致病菌，可累及全身各个器官组织，最常见的感染性疾病为心内膜炎，其他包括肺部感染/胸膜炎/关节炎/创口感染/咽后壁脓肿/败血症/脑膜炎/骨髓炎/角膜炎/肝脓肿等。
Gordonia sputi,Pathogenicity,痰液戈登菌,36823,bacteria,"导致中枢神经系统感染和脑膜炎，G. sputi, G. bronchialis和G. terrae是该菌属的主要致病菌，戈登属是一种新兴的病原体，主要与医疗器械有关，应列入引起脑脊液分流感染的病原体清单。文献描述1例痰液戈登菌引起的外伤后化脓性眼内炎。"
Granulicatella adiacens,Pathogenicity,毗邻颗粒链菌,46124,bacteria,毗邻颗粒链菌为兼性厌氧的革兰阳性球菌，是人口咽部、泌尿生殖道和肠道的正常菌群，机体免疫力低下时可引起感染性心内膜炎、中耳炎和菌血症等。有报道毗邻颗粒链菌可引起急性眼内炎和角膜炎，临床也曾报道一例慢性泪囊炎病例。
Haemophilus influenzae,Both,流感嗜血杆菌,727,bacteria,流感嗜血杆菌是一种革兰氏阴性杆菌，在婴儿及孩童中，乙型流感嗜血杆菌会引致菌血病症及急性bacteria性脑膜炎。在眼科中曾有报道引起一名免疫力正常的13岁儿童的内源性眼内炎。
Haemophilus parahaemolyticus,Pathogenicity,副溶血嗜血杆菌,735,bacteria,副溶血嗜血杆菌，又名胸膜肺炎嗜血杆菌、胸膜肺炎放线杆菌，是一种兼性厌氧革兰氏阴性菌，为多形性小球杆菌，不运动，有荚膜。多存在于正常人的上呼吸道，毒力较弱，很少致病。
Haemophilus parainfluenzae,Pathogenicity,副流感嗜血杆菌,729,bacteria,副流感嗜血杆菌是一种无动力、无芽孢的革兰阴性小杆菌，常呈球杆状、丝状等多种形态。HPi为微需氧菌，最适生长温度为35~37℃，这使它适应其寄居的呼吸道特殊环境，是人类呼吸道常见的定植菌，具有条件致病性。可引起心内膜炎、肾炎、泌尿生殖道炎、胆道感染、腹膜炎等多种疾病。有文献报道在感染性葡萄膜炎患者眼内检测到副流感嗜血杆菌。
Hepatitis B virus,Both,乙型肝炎viral,10407,viral,乙型肝炎viral属嗜肝DNAviral科，是引起乙型肝炎的病原体。研究表明乙型肝炎患者的泪液中存在HBV DNA，并且存在通过泪液传播乙肝viral的可能性。也有文献报道使用聚合酶链反应技术在乙型肝炎患者的房水中检出乙肝viral的存在。
Human alphaherpesvirus 1,Both,人疱疹viral1型/单纯疱疹viral1型,10298,viral,单纯疱疹viral(herpes simplex virus，HSV)侵入机体后可以通过直接侵犯或通过诱发的免疫应答而引起前葡萄膜炎或后葡萄膜炎。常为疱疹性角膜-虹膜睫状体炎，疱疹性虹膜睫状体炎，在免疫抑制患者中也可引起疱疹性视网膜脉络膜炎。单纯疱疹viral也是viral性角膜炎的最主要致病原，在角膜常呈树枝状角膜炎，浸润后常发生溃疡，严重病例则常引起虹膜反应，虹膜睫状体炎，少数病例还可引起角膜穿孔，或角膜葡萄肿、继发性青光眼等。
Human alphaherpesvirus 2,Both,人疱疹viral2型/单纯疱疹viral2型,10310,viral,单纯疱疹viral(herpes simplex virus，HSV)侵入机体后可以通过直接侵犯或通过诱发的免疫应答而引起前葡萄膜炎或后葡萄膜炎。常为疱疹性角膜-虹膜睫状体炎，疱疹性虹膜睫状体炎，在免疫抑制患者中也可引起疱疹性视网膜脉络膜炎。单纯疱疹viral也是viral性角膜炎的最主要致病原，在角膜常呈树枝状角膜炎，浸润后常发生溃疡，严重病例则常引起虹膜反应，虹膜睫状体炎，少数病例还可引起角膜穿孔，或角膜葡萄肿、继发性青光眼等。
Human alphaherpesvirus 3,Both,水痘-带状疱疹viral,10335,viral,水痘-带状疱疹viral感染可是先天性的或获得性的，可引起角膜炎、前葡萄膜炎、急性视网膜坏死综合征等。水痘-带状疱疹viral引起的前葡萄膜炎往往出现于眼带状疱疹的消退期。也是viral性角膜炎中仅次于HSV的致病原，在角膜常呈树枝状角膜炎，浸润后常发生溃疡，严重病例则常引起虹膜反应，虹膜睫状体炎，少数病例还可引起角膜穿孔，或角膜葡萄肿、继发性青光眼等。
Human betaherpesvirus 5,Background,CMV/巨细胞viral,10359,viral,巨细胞viral(cytomegalovirus，CMV)是一种疱疹viral，可引起视网膜炎或视网膜脉络膜炎，极少数情况下可引起虹膜睫状体炎，其中视网膜炎是主要表现，多为双侧受累，患者常诉视物模糊、暗点、眼前黑影、闪光感或视力下降等症状，在无有效治疗的情况下，巨细胞viral性视网膜炎通常持续进展，在数周内发生全层视网膜坏死。
Human betaherpesvirus 6,Background,人疱疹viral6型,10368,viral,人疱疹viral-6型的原发感染多发生在6个月～2岁的儿童，重症者出现婴儿玫瑰疹。成人感染 HHV-6可出现单核细胞增多症。皮疹多为斑疹，色泽鲜红，可融合成片，甚至发展为弥漫性红斑，消退时脱屑较明显。免疫缺陷病人（接受器官移植和AIDS患者）比正常人更易感染HHV-6，临床可见发热、白细胞减少、皮疹，甚至发生肺炎、肝炎及脑炎。眼科中，有报道由HHV-6感染引起反复发作的角膜炎、视网膜肉芽肿、葡萄膜炎以及视神经炎等。
Human betaherpesvirus 6A,Pathogenicity,人疱疹viral6A,32603,viral,人类疱疹viral6A感染与临床上许多疾病有关，目前已相继从幼儿急疹、慢性疲劳综合征、AIDS、传染性单核细胞增多症等病人体内分离出了该病原体，且HHV-6A在健康人群中的隐性感染也非常普遍。此外，在移植受体患者中的感染也较为多见，可引起严重的脑炎，骨髓抑制与肺炎等。有文献报道在双眼表现为玻璃体炎、视盘水肿和出血的患者的房水和脑脊液中发现HHV-6的存在；也有研究发现HHV-6可能和感染性角膜炎相关。
Human betaherpesvirus 6B,Pathogenicity,人疱疹viral 6B,32604,viral,人类疱疹viral6B感染与临床上许多疾病有关，目前已相继从幼儿急疹、慢性疲劳综合征、AIDS、传染性单核细胞增多症等病人体内分离出了该病原体。且HHV-6B在健康人群中的感染也非常普遍。此外，在移植受体患者中的感染也较为多见，可引起严重的脑炎、骨髓抑制、肺炎等。有文献报道在双眼表现为玻璃体炎、视盘水肿和出血的患者的房水和脑脊液中发现HHV-6的存在；也有研究发现HHV-6可能和感染性角膜炎相关。
Human betaherpesvirus 7,Both,人疱疹viral7型,10372,viral,人类疱疹viral7型是一种普遍存在的人类疱疹viral，在健康成人外周血中首次被发现，该viral可持续存在于外周血T淋巴细胞和唾液腺中，易在脐带血和正常人外周血淋巴细胞中培养。HHV-7感染与其他疱疹viral相似，可能成为免疫抑制状态下的病原体。HHV-6和HHV-7是儿童中枢神经系统感染的罕见病因。有报道1例HHV-7感染引起的viral性前葡萄膜炎，患者表现为患眼充血，视物模糊，少量白色尘状KP， Descemet膜皱褶，前房细胞浸润，局部类固醇治疗后明显改善。
Human coronavirus NL63,Background,人类冠状viralNL63,277944,,常见背景微生物
Human gammaherpesvirus 4,Background,EBV,10376,viral,EBviral是一种双链DNAviral，可潜伏在B淋巴细胞中，持续复制，可引起视网膜炎、视网膜脉络膜炎、葡萄膜炎等等，也可引起结膜炎，EBviral引起的视网膜炎、视网膜脉络膜炎通常为自限性疾病。
Human immunodeficiency virus,Pathogenicity,艾滋viral,12721,viral,艾滋viral可引起眼部病变，包括眼部机会性感染，研究表明52%～100%的HIV患者出现眼部病变，从眼附属器至视神经均可受累。视网膜微血管病变是HIV直接感染眼部最常见的临床表现，其发病率随CD4+T淋巴细胞数量降低而升高，临床主要表现为后极部的棉绒斑，也可表现为视网膜火焰状出血、周围视网膜点状出血和微血管瘤。
Human mastadenovirus C,Pathogenicity,人哺乳动物腺viralC,129951,viral,线状双链 DNA viral，属于腺viral科、哺乳动物腺viral属。在儿童和成人患者的多种组织器官中均有发现，与许多临床疾病有关。包括急性呼吸道疾病(ARD)、急性胃肠炎和流行性角膜结膜炎等。
Human mastadenovirus D,Both,人哺乳动物腺viralD/人类腺viralD,130310,viral,线状双链DNAviral，属于腺viral科、哺乳动物腺viral属。是viral性角膜结膜炎的病原之一，在免疫功能低下人群或艾滋病患者中更为常见，常侵犯角膜基质浅层，呈点状侵润，一般不形成溃疡。
Human mastadenovirus E,Pathogenicity,人哺乳动物腺viralE,130308,viral,线状双链 DNA viral，属于腺viral科、哺乳动物腺viral属。在儿童和成人患者的多种组织器官中均有发现，与许多临床疾病有关。多引起结膜炎，急性呼吸道疾病等。
Influenza A virus,Pathogenicity,A型流感viral,11320,viral,流感viralA是一种RNAviral，常引起急性呼吸道疾病，可引起急性后多病灶性鳞状色素上皮病变、浆液性视网膜脱离等多种葡萄膜炎表现。
Streptococcus intermedius,Pathogenicity,中间链球菌,1338,bacteria,常见背景微生物
Klebsiella aerogenes,Background,产气克雷伯菌,548,bacteria,常见背景微生物
Klebsiella michiganensis,Background,密歇根克雷伯菌,1134687,bacteria,常见背景微生物
Klebsiella oxytoca,Pathogenicity,产酸克雷伯菌,571,bacteria,产酸克雷伯菌是一种革兰氏阴性菌，被报道可引起角膜术后患者的难治性角膜炎。
Klebsiella pneumoniae,Both,肺炎克雷伯菌,573,bacteria,肺炎克雷伯菌为呼吸道感染的重要病原体，常引起重症肺炎，还可引起泌尿道感染、胆道感染、败血症和化脓性脑膜炎等严重疾病。感染多发生于住院的衰弱患者。据报道，内源性肺炎克雷伯杆菌性眼内炎具有以下病征：单眼发病居多，玻璃体混浊，眼底可见视盘、黄斑水肿及视网膜血管闭塞等改变。
Klebsiella quasipneumoniae,Both,类肺炎克雷伯菌,1463165,bacteria,类肺炎克雷伯是一种新兴的病原体，革兰氏阴性菌，是引起人类肺炎的为条件致病菌之一。可引起肺炎、子宫炎、乳房炎及其他化脓性炎症，甚至发生败血症。
Kocuria indica,Background,-,1049583,bacteria,常见背景微生物
Kocuria palustris,Background,沼泽库克氏菌,71999,bacteria,常见背景微生物
Kocuria polaris,Background,极考克氏菌,136273,bacteria,常见背景微生物
Kocuria rhizophila,Background,嗜根考克氏菌,72000,bacteria,常见背景微生物
Kocuria rosea,Both,玫瑰色库克氏菌,1275,bacteria,玫瑰色考克氏菌，也称玫瑰色微球菌，是革兰氏阳性微球菌，广泛分布于自然界的土壤、水及人类的皮肤和呼吸道，一直被认为是条件致病菌，可导致免疫力低下患者的机会性感染。最近来有文献报道玫瑰色考克氏菌是一种罕见的引起角膜炎的致病菌。
Kocuria salsicia,Background,-,664639,bacteria,常见背景微生物
Kocuria turfanensis,Background,-,388357,bacteria,常见背景微生物
Komagataella pastoris,Background,毕赤酵母,4922,fungi,常见背景微生物
Kytococcus sedentarius,Background,坐皮肤球菌,1276,bacteria,常见背景微生物
Lactococcus garvieae,Pathogenicity,格氏乳球菌,1363,bacteria,乳球菌属是1985年Schleifer等提议设立一个新的菌属，这个菌属的大多数bacteria原来是链球菌属和乳杆菌属中的bacteria，乳酸乳球菌、格氏乳球菌和乳脂乳球菌等可以引起人类的各种感染，如败血症、心血膜炎、骨髓炎、败血性髋关节炎和肝脓肿等。近年来有关格氏乳球菌引起人类感染的报道愈来愈多，可能与人类食用或处理受污染的生鱼或海鲜有关，肉类、生奶和乳制品也可能是人类感染格氏乳球菌的食物来源，应引起重视。文献报道1例格氏乳球菌引起的眼内炎，发生于长期玻璃体腔注射抗VEGF药物患者中。
Leclercia adecarboxylata,Background,非脱羧勒克菌,83655,bacteria,常见背景微生物
Legionella hackeliae,Pathogenicity,哈开里军团菌,449,bacteria,哈开里军团菌属于军团菌属，目前关于该菌报道较少。军团菌是一种导致军团菌病的兼性胞内寄生菌，患者主要通过被军团菌污染水体环境产生的气溶胶而感染。目前已知的军团菌有55个种，其中20余种可使人类致病，症状较重的以发热、咳嗽和肺部炎症为主，病情较轻的仅表现为发热、头痛和肌肉疼痛等，无肺部炎症。临床文献报道一例由哈开里军团菌引起的社区获得性肺炎病例。
Legionella pneumophila,Pathogenicity,嗜肺军团菌,446,bacteria,嗜肺军团菌是一种革兰氏阴性杆菌，存在于土壤和水环境中，尤其在空调冷凝水中检出率最高。易侵犯患有慢性器质性疾病或免疫功能低下者，最常见引起肺炎。在眼科中有引起感染性眼内炎的报道，但罕见。
Leptospira interrogans,Pathogenicity,问号钩端螺旋体,173,bacteria,问号钩端螺旋体是一种革兰氏阴性专性需氧微生物，会引起钩端螺旋体病。问号钩端螺旋体可经皮肤或黏膜迅速侵入人和多种动物体内引起感染，人类感染后引起以发热、黄疸、出血为主要症状的钩体病，动物感染后大多症状轻微或无症状。由于问号钩体自然宿主众多，并经污染的水源迅速传播，故钩体病是全球性流行、洪涝和地震等自然灾害时需重点防疫的人兽共患传染病。
Leuconostoc citreum,Background,柠檬明串珠菌,33964,bacteria,常见背景微生物
Lichtheimia corymbifera,Pathogenicity,伞状毛霉,42458,fungi,伞状毛霉是一种嗜热fungi，通常以腐生霉菌的形式生活，为机会致病菌。在免疫力受损的动物和人类中引起肺部、中枢神经系统、鼻脑或皮肤感染。有文献报道，伞状毛霉可引起眼眶蜂窝组织炎。
Lichtheimia ramosa,Background,总状横梗霉,688394,fungi,常见背景微生物
Lodderomyces elongisporus,Both,长孢诺德酵母菌,36914,fungi,长孢诺德酵母菌属于念珠菌，前已有临床研究表明，感染该病原菌可引起血流感染，心内膜炎。
Malassezia caprae,Background,-,1381934,fungi,常见背景微生物
Malassezia cuniculi,Background,-,948313,fungi,常见背景微生物
Malassezia dermatis,Background,-,169489,fungi,常见背景微生物
Malassezia equina,Background,-,1381935,fungi,常见背景微生物
Malassezia furfur,Background,糠秕马拉色菌,55194,fungi,常见背景微生物
Malassezia globosa,Background,球形马拉色菌,76773,fungi,常见背景微生物
Malassezia japonica,Background,日本马拉色菌,223818,fungi,常见背景微生物
Malassezia restricta,Both,限制性马拉色菌,76775,fungi,限制性马拉色菌通常存在于人类皮肤和头皮中，是一种条件致病菌，在眼科中有报道引起fungi性角膜炎。
Malassezia sympodialis,Background,合轴马拉色菌,76777,fungi,常见背景微生物
Mammaliicoccus vitulinus,Background,-,71237,bacteria,常见背景微生物
Measles morbillivirus,Pathogenicity,麻疹viral,11234,viral,麻疹viral是一种RNAviral，它所致的麻疹是一种急性发热性皮疹疾病，主要通过鼻咽分泌物传播，在眼部致病罕见，最常引起的是结膜炎、角膜炎，轻症可致角膜上皮点状浸润，重症可致角膜穿孔幼儿发生感染也可引起视网膜脉络膜病变。
Megasphaera micronuciformis,Pathogenicity,巨球形菌,187326,bacteria,巨球形菌属于巨球形菌属，为革兰氏阴性专性厌氧菌。从人类粪便中分离得出。目前关于该病原体临床研究较少。
Meyerozyma guilliermondii,Both,季也蒙毕赤酵母,4929,fungi,毕赤酵母存在于人体皮肤和粘膜表面的菌群中，是一种机会性病原体。如同念珠菌，它也可以引起严重的fungi感染。有临床报道显示，季也蒙毕赤酵母感染人体可引起菌血症。
Micrococcus flavus,Background,luteus微球菌,384602,bacteria,常见背景微生物
Micrococcus luteus,Background,藤黄微球菌,1270,bacteria,常见背景微生物
Moraxella catarrhalis,Pathogenicity,卡他莫拉菌,480,bacteria,卡他莫拉菌是一种革兰氏阴性双球菌，可以引起儿童和老年人的呼吸道感染、儿童上颌窦炎、中耳炎、肺炎。眼科中曾报道引起白内障术后的化脓性眼内炎。
Moraxella lacunata,Pathogenicity,腔隙莫拉菌,477,bacteria,腔隙莫拉菌属于格兰阴性莫拉菌属，莫拉菌属角膜炎是一种少见但非常严重的角膜感染性疾病，它的发展趋势非常迅速，如果不尽早发现以及进行有效的治疗，会导致严重的并发症，包括失明。文献表明在纳入实验的16例莫拉菌属角膜炎患者中，以眼痛和角膜溃疡多见；腔隙莫拉菌和非液化莫拉菌为主要感染病原菌。
Moraxella nonliquefaciens,Both,非液化莫拉菌,478,bacteria,非液化莫拉菌属于莫拉菌属，为革兰氏阴性菌，莫拉菌可寄居于人体皮肤和黏膜，也是上呼吸道正常菌群，在眼科可引起角膜炎，眼内炎，结膜炎。该菌引起的角膜炎或眼内炎病例可能有明显的脓性分泌物病史，眼内炎的报道多发生在有小梁切除病史患者中。一项对莫拉菌引起的眼部感染的物种研究报道非液化莫拉菌株在角膜炎中占29%，眼内炎中占的75%，所有菌株对万古霉素敏感。
